"Study","Random.sequence.generation.","Allocation.concealment.","Selective.reporting.","Blinding.of.participants.and.personnel.","Blinding.of.outcome.assessment","Incomplete.outcome.data","Other.sources.of.bias.","Overall"
"Ahmed,2019","Unclear","Unclear","Unclear","High","Unclear","Low","Unclear","High"
"Badrov,2013","Unclear","High","High","High","Unclear","Low","Unclear","High"
"Baross,2012","Unclear","Unclear","High","High","Unclear","Low","Unclear","High"
"Baross,2013","Unclear","Unclear","High","High","Unclear","Low","Unclear","High"
"Carlson,2016","Low","High","High","Low","Unclear","Low","Low","High"
"Correia,2020","Low","Low","Low","High","Unclear","Low","Low","High"
"Farah,2018","Low","Low","Low","High","Low","High","Unclear","High"
"Forjaz,2019","Unclear","Unclear","Unclear","High","Unclear","Low","Unclear","High"
"Goessler,2018","Low","Unclear","High","High","Unclear","Low","Unclear","High"
"Gordon,2018","Unclear","Unclear","High","High","Unclear","Low","Low","High"
"Gregory,2012","High","Low","Unclear","High","Unclear","Low","Unclear","High"
"Herrod,2020","Low","Unclear","High","High","Unclear","Low","Low","High"
"Morrin,2018","Unclear","Unclear","Low","High","Unclear","Low","Unclear","High"
"Ogbutor,2019","Low","Low","Unclear","High","Unclear","Low","Low","High"
"Okamoto,2019","Unclear","Unclear","Unclear","High","Low","Low","Low","High"
"Pagonas,2017","Unclear","Unclear","Low","Unclear","Unclear","Low","Low","High"
"Punia,2020","Low","Unclear","Low","Unclear","Low","Low","Unclear","High"
"Ritti-Dias,2017","Low","Low","Low","High","Low","High","Low","High"
"Stiller-Moldovan,2012","Low","Low","Low","High","Unclear","High","Unclear","High"
"Taylor,2003","Unclear","Unclear","Unclear","High","unclear","Low","Low","High"
"Taylor,2019","Unclear","Unclear","Low","High","Unclear","Low","Unclear","High"
"Wiley,1992","Low","Unclear","Unclear","Unclear","Unclear","High","Unclear","High"
"Worachet,2017","Unclear","Unclear","Unclear","High","Unclear","Low","Unclear","High"
"Yoon,2019","Unclear","Unclear","High","High","Low","Low","Low","High"
